	Train Loss	Test Loss	Test Accuracy	Train Accuracy	first_gradient_norm	first_gradient_norm_wt	first_gradient_norm_wt_scaled	loss_error	loss_error_wt	loss_error_wt_scaled
43	1.0018526879882812	1.0394139940261842	64.18	65.848	3930.1198806761913	534.7486798058717	3974.9846327939395	41664.1015625	4907.94921875	43963.12109375
44	0.9961951887893676	1.0189852766036986	66.3	66.614	3482.7962275021787	482.3237936176649	3555.856298160176	41422.4609375	4129.3984375	44450.09765625
45	1.056425853691101	1.0767442892074586	64.76	65.0	5369.650162449412	213.39222933783591	5569.019853125681	41055.88671875	4292.48046875	44497.32421875
46	0.9453417785263062	0.9769023138046264	67.5	68.108	3833.782860904554	367.6527788714457	4000.4352800611623	38116.5	4379.37890625	41609.2578125
47	0.9042334875106811	0.933426427268982	68.31	69.218	3659.773455572966	235.95450168067788	3982.905208273112	36867.07421875	3958.4453125	40817.0390625
48	0.9002529205131531	0.9303338426589965	68.1	68.902	3783.2220067116364	488.1105377917845	4054.6826313155143	35442.67578125	4841.42578125	39129.4375
49	0.8853860600280762	0.9153516903877258	69.29	69.966	3587.699258649942	379.16020238325166	3734.4542841864704	36126.4609375	3667.5703125	39676.5546875
50	0.886646821975708	0.9153478763580323	69.01	69.742	3205.6880749187508	300.81774735645354	3383.380224776883	36726.08984375	4550.29296875	39992.93359375
51	0.7877871942520142	0.8113296964645386	72.79	72.962	2952.465435687859	267.5460120088065	2996.6624543385165	32305.49609375	3537.78515625	35459.8515625
52	0.9016570053100585	0.9374588277816772	68.59	69.482	3703.944308462448	583.9629094196392	4070.390429481062	34728.04296875	4725.50390625	39117.1484375
53	1.0054500706100464	1.0321470483779907	66.99	67.994	4042.531793712261	738.8972031999064	4276.588320926741	40363.265625	6223.87109375	44351.0546875
54	0.8464221287345887	0.8785244558334351	70.51	71.414	3480.114453358967	368.51960368851604	3550.134744358725	34909.2890625	4892.88671875	37913.26171875
55	0.8764276184463501	0.9136368399620056	70.44	71.572	3686.6803355612956	261.0482999026611	3758.9072991428284	35105.5859375	3833.76171875	38521.265625
56	1.4079399207687378	1.4217801614761352	58.85	59.114	8086.30353030491	658.6900125919925	8445.920536047326	50946.19921875	4396.73046875	56191.11328125
57	0.762991595916748	0.7973022672653198	72.65	73.838	2446.356165988905	424.43855402564105	2729.472422106952	32353.91796875	5106.54296875	35534.40625
58	0.8074038949966431	0.8447970710754394	72.05	72.36	3810.0518710737674	205.79721090355358	4016.741981887811	31803.8984375	3965.05078125	35491.7578125
59	0.9245840908622742	0.959592036819458	69.54	70.648	4790.002374062134	446.9418122741418	5115.009143279491	36969.3984375	4675.734375	41515.5546875
60	1.8631977013397216	1.8775481140136718	48.55	48.894	10261.706761162626	734.7851061671039	10365.914661283041	71643.015625	3393.84375	76329.9140625
61	4.872387036437988	4.895682903289795	22.67	22.842	22415.47542326496	262.7190363847885	22445.64430753028	194228.609375	4124.09375	195906.109375
